Gujarati Word,Antonym (Gujarati),English Meaning,Usage Example (Gujarati),Usage Example (English)
મોટું,નાનું,Big ↔ Small,"આ ઘર મોટું છે, પણ તેની બાજુનું નાનું છે.","This house is big, but the one next to it is small."
પ્રકાશ,અંધકાર,Light ↔ Darkness,"પ્રકાશમાં બધું દેખાય છે, અંધકારમાં નહીં.","Everything is visible in light, not in darkness."
સાચું,ખોટું,True ↔ False,"સાચું બોલવું સારું છે, ખોટું નહિ.","It is good to speak the truth, not lies."
જીત,હાર,Win ↔ Lose,"તેની ટીમ જીતે છે, બીજાની હારે છે.","His team wins, the other loses."
ઠંડું,ગરમ,Cold ↔ Hot,"ચા ગરમ છે, પાણી ઠંડું છે.","Tea is hot, water is cold."
ખુશી,દુઃખ,Happiness ↔ Sadness,"ખુશી શેર કરવી જોઈએ, દુઃખ વહેંચવું જોઈએ.","Happiness should be shared, sadness should be eased."
ઉચ્ચ,નીચું,High ↔ Low,"પર્વત ઊંચો છે, ખીણ નીચી છે.","The mountain is high, the valley is low."
ઝડપી,ધીમી,Fast ↔ Slow,"તે ઝડપથી દોડે છે, પણ બીજો ધીમે.","He runs fast, but the other slowly."
નવું,જૂનું,New ↔ Old,"આ કાર નવી છે, પણ ઘડિયાળ જૂની છે.","This car is new, but the watch is old."
દિવસ,રાત,Day ↔ Night,"દિવસે પ્રકાશ હોય છે, રાત્રે અંધકાર.","There is light in the day, darkness at night."
