Gujarati Idiom,Meaning (Gujarati),English Meaning,Usage Example (Gujarati),Usage Example (English)
આંખ ઉઘાડવી,"જાગૃત થવું, સાવધાન થવું","Open eyes, Be alert",પરીક્ષામાં નિષ્ફળતા પછી તેની આંખ ઉઘડી.,He opened his eyes after failing the exam.
હાથ ખાલી હોવો,કશું પણ ન હોવું,To be empty-handed,તે વેપારમાં હાથ ખાલી રહ્યો.,He was left empty-handed in business.
હ્રદય જીતવું,કોઈને પ્રસન્ન કરવું,Win someone’s heart,તેની મીઠી વાતોએ સૌનું હ્રદય જીત્યું.,His sweet words won everyone’s heart.
પગ માંડવા,સ્વતંત્ર થવું,To establish oneself,વિદ્યાર્થીએ કારકિર્દીમાં પગ માંડ્યા.,The student established himself in his career.
કાનમાં તેલ નાખવું,અવગણના કરવી,Ignore things,તે ટીકા પર કાનમાં તેલ નાખે છે.,He ignores criticism.
માથું ખાવું,"પડકારવું, પરેશાન કરવું",To nag or trouble,તે મિત્રને વારંવાર ફોન કરી માથું ખાય છે.,He keeps nagging his friend by calling repeatedly.
મીઠું ખાવું,ઉપકાર લેવું,To take favor,તે ગુરુના મીઠું ખાધું.,He took the guru’s favor.
આગમાં ઘી નાખવું,પરિસ્થિતિ ખરાબ કરવી,To worsen the situation,તેની વાતોએ આગમાં ઘી નાંખ્યું.,His words worsened the situation.
પગ પર કૂહાડી મારવી,સ્વયં નુકસાન કરવું,To harm oneself,અસત્ય બોલીને તેણે પોતાના પગ પર કૂહાડી મારી.,"By lying, he harmed himself."
"દૂધનું દૂધ, પાણીનું પાણી",સાચું ખોટું સ્પષ્ટ કરવું,To clarify the truth,"જજએ દૂધનું દૂધ, પાણીનું પાણી કર્યું.",The judge clarified the truth.
