Gujarati Word,Synonyms (Gujarati),English Meaning,Usage Example (Gujarati),Usage Example (English)
ઝડપ,"ત્વરિત, વહેલો, ફાસ્ટ","Speed, Quickness",તે ઝડપથી દોડે છે.,He runs fast.
આનંદ,"ખુશી, પ્રસન્નતા, આનંદિત","Happiness, Joy",તેને પરીક્ષામાં આનંદ થયો.,He felt joy in the exam.
પ્રકાશ,"દિવ્ય, અજવાળું, રોશની","Light, Brightness",સૂર્યનો પ્રકાશ સુંદર લાગે છે.,The sunlight looks beautiful.
મિત્ર,"સખા, યાર, સાથી","Friend, Companion",મને એક સારો મિત્ર મળ્યો.,I found a good friend.
જ્ઞાન,"વિદ્યા, શિક્ષા, સમજ","Knowledge, Wisdom",જ્ઞાન માણસને ઉંચો બનાવે છે.,Knowledge elevates a person.
શક્તિ,"બળ, તાકાત, સામર્થ્ય","Strength, Power",સિંહ પાસે બહુ શક્તિ છે.,The lion has great strength.
પ્રેમ,"મોહ, લાગણી, સ્નેહ","Love, Affection",માતા-પિતાનો પ્રેમ નિસ્વાર્થ છે.,Parents' love is selfless.
શાંતિ,"ચેન, સમાધાન, આરામ","Peace, Calmness",પ્રકૃતિમાં શાંતિ મળે છે.,Peace is found in nature.
કૃપા,"દયા, અનુગ્રહ, સહાય","Kindness, Mercy",ભગવાનની કૃપા અમૂલ્ય છે.,God's mercy is priceless.
આશા,"ભરોસો, અપેક્ષા, ઈચ્છા","Hope, Expectation",વિદ્યાર્થીમાં સફળતાની આશા છે.,The student has hope for success.
